date,ppo_agent,buy_and_hold,monthly_rebalance
2021-03-17,135490.89485732518,145295.27148938374,143708.41066008585
2021-03-18,136436.8719169284,143519.27674339793,141934.57097861357
2021-03-19,135637.7868082054,143865.3184826842,142266.41384809237
2021-03-22,136198.6346000237,144917.3737367639,143297.6580845888
2021-03-23,136017.50419464562,144610.23231915408,142971.11598357672
2021-03-24,135043.05027352573,144231.18688879925,142581.18878213066
2021-03-25,135500.8078817639,144011.21915040104,142374.09750104172
2021-03-26,135012.64135098804,144888.49806222762,143258.60320051524
2021-03-29,135397.78898305394,144274.93470765252,142662.2647903696
2021-03-30,133806.44762923013,143708.54619425436,142093.42305488375
2021-03-31,131558.02260470344,144540.45298563092,142922.74648166445
2021-04-01,133521.90288408368,146190.25307924126,144544.28601308927
2021-04-05,135205.33796827515,147055.24564240992,145401.84187608733
2021-04-06,135165.05169643462,147458.67290472862,145797.90960654945
2021-04-07,136238.3500623317,147272.9504168933,145615.82980862274
2021-04-08,135855.61755682318,148279.91589804046,146616.3650829482
2021-04-09,137305.01160327854,148346.91085614925,146687.75207155079
2021-04-12,136288.5649451372,148123.46692215884,146466.99564233926
2021-04-13,135474.4915041773,148989.02484456988,147330.1149124418
2021-04-14,136432.2403039977,148305.29091309162,146642.24947184816
2021-04-15,135838.55586102256,150046.5450461807,148373.28244467176
2021-04-16,138023.782015085,150130.4035305029,148457.70102344264
2021-04-19,138837.0234312863,149538.82283012444,147862.80809637284
2021-04-20,138449.05106629268,149346.0666290906,147662.9999949942
2021-04-21,138930.03917483523,150240.40858640563,148556.2207579962
2021-04-22,140293.31973040255,149540.06480069345,147849.96385052934
2021-04-23,139392.22458798866,150058.69994472712,148368.8070129954
2021-04-26,138877.24354127405,150350.53541474591,148663.2461967081
2021-04-27,139241.69538350074,149875.80074198407,148191.3706109039
2021-04-28,138886.69463258152,149873.55152251336,148186.28320976224
2021-04-29,139287.96000713654,149959.94496723716,148277.45455528307
2021-04-30,138722.93654351745,149534.65205825717,147846.2470493482
2021-05-03,138260.15511211642,149845.9346083795,148149.13677781785
2021-05-04,140025.36605206112,149108.14659867634,147420.96633381883
2021-05-05,139012.2254222296,149189.9349640752,147505.37230691206
2021-05-06,139579.30381639805,150199.9236319629,148504.67964194572
2021-05-07,141877.63627841696,150784.42681822245,149081.82114274794
2021-05-10,143134.80630975123,149507.4542181054,147836.25634187894
2021-05-11,143541.55406966704,149035.2829440554,147371.36644988754
2021-05-12,143557.39930633426,147021.228821176,145398.45558820362
2021-05-13,142129.37368097223,147770.7493202354,146130.3243535847
2021-05-14,142712.47190122888,149420.13693340003,147740.49576480253
2021-05-17,144014.96056785368,149447.3958094014,147788.97068826898
2021-05-18,145660.5401443877,148969.80250333442,147329.65648530604
2021-05-19,145931.95822745902,148874.2754833623,147236.444283849
2021-05-20,146027.06459261873,150151.52029666462,148477.5131184611
2021-05-21,146699.91020665073,150073.41128656585,148405.16695146347
2021-05-24,146766.04979267044,151048.24300965623,149350.29585318943
2021-05-25,147034.17410043077,151576.91409324392,149883.58832880761
